order_id,customer_id,order_date,product_id,product_name,category,quantity,price_per_unit,total_price,payment_method,shipping_address,status
03cf8c0b-a294-4afe-8b7d-7696bacb5e74,5a49247d-cfb6-4abd-8743-66763493e7b8,2023-11-19 19:54:24,1058,floor,Home,4,7.87,1137.33,Credit Card,"477 Hardy River
Port Carolville, AK 63300",Delivered
3cf2bd19-84d8-4ed4-bf06-2587df386384,ea58418b-4dcc-47ed-ab73-2fbda1e9ee96,2024-10-04 12:57:16,1049,sea,Toys,1,63.58,634.92,Bank Transfer,"0840 Christopher Underpass Apt. 745
Mariafort, CA 68275",Shipped
54d95149-ce4b-4716-912e-d80f2f767a9f,509012ac-9807-462a-82d6-47427192dbfc,2024-09-09 04:35:42,1090,relate,Home,2,744.84,3295.52,Credit Card,"98055 Davila Mount Suite 878
Larrymouth, DE 41358",Pending
3191d9be-624f-4fd1-92af-cdf0789115be,40d4a67b-7cc4-419b-a002-90889dd0828d,2024-06-21 22:08:11,1013,picture,Clothing,1,882.91,588.85,Credit Card,"3773 Taylor Causeway Suite 094
Jamieborough, NH 66401",Cancelled
19f68fa1-afd2-4804-a213-e8b5c2bcda95,a4dd7acf-7ee6-490b-8559-59d8c203d163,2024-05-15 13:44:23,1086,consider,Home,5,718.21,2956.04,Bank Transfer,"19439 Kayla Square Suite 174
Baldwinside, MD 23678",Shipped
b84e47d7-161e-4200-8abc-65b96aba62e5,099b6e15-c489-4e72-9c88-9e02cfec05c0,2024-07-18 08:28:05,1091,most,Books,1,307.71,1458.8,Credit Card,"178 Garrett Knoll
South Margaret, OK 33738",Pending
61197047-15ff-49da-b20b-34b41f412d4f,a5d6b460-b831-48ab-a3cb-23144883a0fb,2024-09-07 01:22:24,1021,face,Clothing,2,408.23,391.84,Credit Card,"70458 Banks Hollow Suite 409
Johnsonbury, MP 39847",Delivered
5ac9eb60-a06c-4ed3-9da9-dec26a78cb5d,8c8eabc5-500c-4060-b9e4-51d99de244b8,2024-10-01 09:22:27,1080,later,Books,2,17.99,341.07,Cash,"127 Jeffrey Parkway
Lake Kristenton, KY 46485",Cancelled
798e260e-f418-4c59-a2ae-b342f13ab884,823537c6-5487-40ae-a8b5-c0d2a1e48a64,2024-06-28 21:42:56,1010,officer,Books,3,480.81,825.03,Bank Transfer,"12697 Miller Views
Summerburgh, AK 14311",Cancelled
77503f9d-bc4a-422e-b893-6fa88bcccd34,baa96519-1c8a-4125-ade9-9d2ac6ef6203,2024-09-09 21:42:38,1060,present,Toys,3,380.91,827.67,Cash,"Unit 1900 Box 1649
DPO AE 30621",Pending
76f48bac-5ed1-4ab1-8eab-cd1e06ea1a32,3a6a030f-2634-4caa-bab3-da11b01f85ef,2023-12-13 21:05:55,1022,address,Books,5,607.93,2100.51,Cash,"6160 Moore Unions
Wellshaven, PA 04597",Delivered
8774b05f-2ff1-4845-bb05-33c59125cd48,da608d33-43ef-4e31-b6fa-15e89501ed92,2024-04-22 01:58:00,1039,magazine,Home,1,389.74,2174.44,Credit Card,"907 Rachel Rest Suite 053
Melissaland, CA 51162",Cancelled
2faebf49-33b2-4c8a-8b46-72bdee6565bb,8631e859-8c79-40df-bdd6-29b30514ada3,2024-05-30 02:50:09,1093,approach,Books,2,318.76,2844.15,Cash,"272 Shaw Flats Apt. 743
Mcmillanview, NC 12197",Delivered
b286b770-853c-4a79-a978-80adf3d26be5,7dfe0ef4-029f-4e18-b3a2-6afa46521590,2023-12-04 17:33:44,1049,sometimes,Books,5,406.91,1631.44,Bank Transfer,"24893 Brady Bypass Suite 100
Bethport, MN 77457",Delivered
449296f5-db23-4539-a7b1-bcf3a71ccb09,d7f1e1d8-3510-4b17-b9f7-d3ce0ae468ea,2024-01-04 10:43:13,1023,loss,Clothing,5,990.45,4576.4,PayPal,"9184 David Mews Suite 577
Bryanland, WA 42891",Cancelled
